cuisine,zipcode,count
Cafe/Coffee/Tea,10004,133
Cafe/Coffee/Tea,10005,71
Cafe/Coffee/Tea,10006,21
Cafe/Coffee/Tea,10007,142
Cafe/Coffee/Tea,10009,204
Cafe/Coffee/Tea,10010,257
Cafe/Coffee/Tea,10011,525
Cafe/Coffee/Tea,10012,381
Cafe/Coffee/Tea,10013,531
Cafe/Coffee/Tea,10014,482
Cafe/Coffee/Tea,10016,237
Cafe/Coffee/Tea,10017,391
Cafe/Coffee/Tea,10018,315
Cafe/Coffee/Tea,10019,366
Cafe/Coffee/Tea,10020,30
Cafe/Coffee/Tea,10021,195
Cafe/Coffee/Tea,10022,260
Cafe/Coffee/Tea,10023,246
Cafe/Coffee/Tea,10024,189
Cafe/Coffee/Tea,10025,175
Cafe/Coffee/Tea,10026,45
Cafe/Coffee/Tea,10027,84
Cafe/Coffee/Tea,10028,146
Cafe/Coffee/Tea,10029,62
Cafe/Coffee/Tea,10030,53
Cafe/Coffee/Tea,10031,83
Cafe/Coffee/Tea,10032,53
Cafe/Coffee/Tea,10033,11
Cafe/Coffee/Tea,10034,41
Cafe/Coffee/Tea,10035,5
Cafe/Coffee/Tea,10036,418
Cafe/Coffee/Tea,10038,145
Cafe/Coffee/Tea,10039,8
Cafe/Coffee/Tea,10040,15
Cafe/Coffee/Tea,10044,16
Cafe/Coffee/Tea,10065,174
Cafe/Coffee/Tea,10069,6
Cafe/Coffee/Tea,10075,104
Cafe/Coffee/Tea,11101,177
Cafe/Coffee/Tea,11102,46
Cafe/Coffee/Tea,11103,262
Cafe/Coffee/Tea,11104,40
Cafe/Coffee/Tea,11105,39
Cafe/Coffee/Tea,11106,49
Cafe/Coffee/Tea,11109,33
Cafe/Coffee/Tea,10103,3
Cafe/Coffee/Tea,10104,4
Cafe/Coffee/Tea,10105,10
Cafe/Coffee/Tea,10107,6
Cafe/Coffee/Tea,10112,19
Cafe/Coffee/Tea,10118,8
Cafe/Coffee/Tea,10119,34
Cafe/Coffee/Tea,10128,120
Cafe/Coffee/Tea,10154,1
Cafe/Coffee/Tea,11691,11
Cafe/Coffee/Tea,10158,5
Cafe/Coffee/Tea,10165,3
Cafe/Coffee/Tea,10166,5
Cafe/Coffee/Tea,10168,19
Cafe/Coffee/Tea,10169,7
Cafe/Coffee/Tea,10173,4
Cafe/Coffee/Tea,11201,402
Cafe/Coffee/Tea,11203,29
Cafe/Coffee/Tea,11204,114
Cafe/Coffee/Tea,11205,139
Cafe/Coffee/Tea,11206,134
Cafe/Coffee/Tea,11207,33
Cafe/Coffee/Tea,11208,23
Cafe/Coffee/Tea,11209,162
Cafe/Coffee/Tea,11210,66
Cafe/Coffee/Tea,11211,360
Cafe/Coffee/Tea,11212,29
Cafe/Coffee/Tea,11213,35
Cafe/Coffee/Tea,11214,143
Cafe/Coffee/Tea,11215,337
Cafe/Coffee/Tea,11216,280
Cafe/Coffee/Tea,11217,159
Cafe/Coffee/Tea,11218,53
Cafe/Coffee/Tea,11220,143
Cafe/Coffee/Tea,11221,209
Cafe/Coffee/Tea,11222,262
Cafe/Coffee/Tea,11223,79
Cafe/Coffee/Tea,11224,4
Cafe/Coffee/Tea,11225,154
Cafe/Coffee/Tea,11226,77
Cafe/Coffee/Tea,11228,11
Cafe/Coffee/Tea,11229,79
Cafe/Coffee/Tea,11230,80
Cafe/Coffee/Tea,11231,126
Cafe/Coffee/Tea,11232,31
Cafe/Coffee/Tea,11233,105
Cafe/Coffee/Tea,11234,34
Cafe/Coffee/Tea,11235,44
Cafe/Coffee/Tea,11236,13
Cafe/Coffee/Tea,11237,216
Cafe/Coffee/Tea,11238,301
Cafe/Coffee/Tea,11241,7
Cafe/Coffee/Tea,11249,187
Mexican,10280,21
Mexican,10281,6
Mexican,10282,8
Mexican,10301,121
Mexican,10302,129
Mexican,10304,61
Mexican,10305,74
Mexican,10306,15
Mexican,10307,13
Mexican,10308,8
Mexican,10309,22
Mexican,10310,78
Mexican,10314,34
Mexican,11356,16
Mexican,11358,8
Mexican,11361,38
Mexican,11362,9
Mexican,11365,10
Mexican,11368,581
Mexican,11369,31
Mexican,11372,551
Mexican,11373,165
Mexican,11374,17
Mexican,11375,48
Mexican,11377,217
Mexican,11378,64
Mexican,11385,165
Mexican,11417,36
Mexican,11418,62
Mexican,11421,111
Mexican,11423,32
Mexican,11428,13
Mexican,11430,50
Mexican,11432,15
Mexican,11435,182
Mexican,10451,106
Mexican,10452,118
Mexican,10453,149
Mexican,10454,95
Mexican,10455,161
Mexican,10456,6
Mexican,10457,27
Mexican,10458,149
Mexican,10459,46
Mexican,10460,4
Mexican,10461,36
Mexican,10462,102
Mexican,10463,100
Mexican,10465,82
Mexican,10467,114
Mexican,10468,233
Mexican,10471,52
Mexican,10472,127
Mexican,10474,13
Mexican,10475,6
Mexican,10001,23
Mexican,10002,162
Mexican,10003,529
Mexican,10004,67
Mexican,10005,17
Mexican,10006,5
Mexican,10007,34
Mexican,10009,164
Mexican,10010,125
Mexican,10011,211
Mexican,10012,184
Mexican,10013,103
Mexican,10014,207
Mexican,10016,200
Mexican,10017,125
Mexican,10018,80
Mexican,10019,342
Mexican,10020,23
Mexican,10021,28
Mexican,10022,104
Mexican,10023,94
Mexican,10024,70
Mexican,10025,210
Mexican,10026,61
Mexican,10027,35
Mexican,10028,107
Mexican,10029,536
Mexican,10030,7
Mexican,10031,186
Mexican,10032,124
Mexican,10033,19
Mexican,10034,188
Mexican,10035,63
Mexican,10036,276
Mexican,10038,36
Mexican,10040,26
Mexican,10065,18
Mexican,10075,23
Mexican,11101,143
Mexican,11102,73
Mexican,11103,96
Mexican,11104,63
Mexican,11105,43
Mexican,11106,164
Mexican,10104,3
Mexican,10118,27
Mexican,10119,21
Mexican,10121,6
Mexican,10128,89
Mexican,11694,10
Mexican,10169,7
Mexican,11201,174
Mexican,11204,75
Mexican,11205,170
Mexican,11206,169
Mexican,11207,16
Mexican,11208,68
Mexican,11209,165
Mexican,11210,12
Mexican,11211,180
Mexican,11214,63
Mexican,11215,233
Mexican,11216,50
Mexican,11217,98
Mexican,11218,164
Mexican,11219,128
Mexican,11220,570
Mexican,11221,50
Mexican,11222,105
Mexican,11223,199
Mexican,11224,22
Mexican,11225,66
Mexican,11226,105
Mexican,11228,35
Mexican,11229,86
Mexican,11230,46
Mexican,11231,48
Mexican,11232,269
Mexican,11233,16
Mexican,11234,43
Mexican,11235,54
Mexican,11236,2
Mexican,11237,475
Mexican,11238,260
Mexican,11249,143
Japanese,10281,7
Japanese,10301,15
Japanese,10302,4
Japanese,10303,4
Japanese,10304,17
Japanese,10305,47
Japanese,10306,76
Japanese,10307,11
Japanese,10308,61
Japanese,10309,38
Japanese,10310,11
Japanese,10312,111
Japanese,10314,164
Japanese,11354,155
Japanese,11356,7
Japanese,11357,20
Japanese,11358,107
Japanese,11361,87
Japanese,11362,73
Japanese,11364,73
Japanese,11365,55
Japanese,11366,43
Japanese,11367,7
Japanese,11369,4
Japanese,11372,103
Japanese,11373,99
Japanese,11374,97
Japanese,11375,199
Japanese,11377,24
Japanese,11378,28
Japanese,11379,1
Japanese,11385,102
Japanese,11414,56
Japanese,11415,14
Japanese,11418,13
Japanese,11421,11
Japanese,11430,41
Japanese,11432,35
Japanese,11435,15
Japanese,10454,24
Japanese,10458,14
Japanese,10461,79
Japanese,10463,29
Japanese,10464,13
Japanese,10465,49
Japanese,10471,48
Japanese,10475,17
Japanese,10001,280
Japanese,10002,266
Japanese,10003,1217
Japanese,10004,64
Japanese,10005,14
Japanese,10007,57
Japanese,10009,260
Japanese,10010,140
Japanese,10011,409
Japanese,10012,487
Japanese,10013,364
Japanese,10014,284
Japanese,10016,383
Japanese,10017,576
Japanese,10018,135
Japanese,10019,639
Japanese,10020,15
Japanese,10021,223
Japanese,10022,438
Japanese,10023,99
Japanese,10024,128
Japanese,10025,169
Japanese,10027,131
Japanese,10028,247
Japanese,10029,25
Japanese,10031,17
Japanese,10033,47
Japanese,10034,34
Japanese,10035,19
Japanese,10036,343
Japanese,10038,135
Japanese,10044,3
Japanese,10065,142
Japanese,10069,11
Japanese,10075,103
Japanese,11101,103
Japanese,11103,133
Japanese,11104,83
Japanese,11105,123
Japanese,11106,82
Japanese,10112,5
Japanese,10118,5
Japanese,10119,7
Japanese,10128,181
Japanese,11693,6
Japanese,11694,27
Japanese,10169,9
Japanese,11201,296
Japanese,11204,150
Japanese,11205,66
Japanese,11206,48
Japanese,11207,27
Japanese,11209,198
Japanese,11210,6
Japanese,11211,182
Japanese,11212,8
Japanese,11214,206
Japanese,11215,248
Japanese,11216,86
Japanese,11217,139
Japanese,11218,22
Japanese,11219,55
Japanese,11220,79
Japanese,11221,3
Japanese,11222,109
Japanese,11223,26
Japanese,11225,16
Japanese,11226,18
Japanese,11228,31
Japanese,11229,174
Japanese,11230,10
Japanese,11231,63
Japanese,11232,2
Japanese,11234,28
Japanese,11235,224
Japanese,11237,109
Japanese,11238,159
Japanese,11249,88
Caribbean,11106,20
Caribbean,10027,86
Caribbean,10461,31
Caribbean,11201,13
Caribbean,11692,13
Caribbean,10510,27
Caribbean,11693,5
Caribbean,11233,126
Caribbean,11411,155
Caribbean,11412,265
Caribbean,11413,404
Caribbean,11417,111
Caribbean,11416,22
Caribbean,10009,34
Caribbean,11418,120
Caribbean,11419,532
Caribbean,10012,43
Caribbean,10458,5
Caribbean,11422,173
Caribbean,11423,59
Caribbean,10017,6
Caribbean,10011,33
Caribbean,11428,216
Caribbean,11429,118
Caribbean,11432,219
Caribbean,11433,119
Caribbean,11434,229
Caribbean,11691,126
Caribbean,11436,26
Caribbean,10029,60
Caribbean,10030,87
Caribbean,10031,46
Caribbean,11420,375
Caribbean,10035,130
Caribbean,11224,38
Caribbean,10462,54
Caribbean,10039,60
Caribbean,10301,17
Caribbean,10302,3
Caribbean,10037,9
Caribbean,10176,14
Caribbean,10470,108
Caribbean,11203,1280
Caribbean,11205,62
Caribbean,11206,34
Caribbean,11207,168
Caribbean,11208,154
Caribbean,11210,372
Caribbean,11211,43
Caribbean,11212,502
Caribbean,11213,645
Caribbean,11357,3
Caribbean,11215,4
Caribbean,11216,409
Caribbean,11217,152
Caribbean,11218,24
Caribbean,10451,52
Caribbean,11221,6
Caribbean,10455,50
Caribbean,10456,68
Caribbean,11225,493
Caribbean,11226,1117
Caribbean,10459,29
Caribbean,10460,26
Caribbean,11101,13
Caribbean,11230,7
Caribbean,11237,27
