camis,dba,boro,zipcode,cuisine,grade
41485123,OUTBACK STEAKHOUSE,QUEENS,11360,Steak,A
40384920,VICTORY SWEET SHOP,QUEENS,11105,Bakery,A
41485126,OUTBACK STEAKHOUSE,BROOKLYN,11228,Steak,A
41457638,FINEST DUMPLING RESTAURANT,MANHATTAN,10002,Chinese,
40382455,CAFFE VIVALDI,MANHATTAN,10014,Cafe/Coffee/Tea,
41568650,ANTOJITOS DELI FOOD,BROOKLYN,11214,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
40910784,JIMBO'S HAMBURGER PALACE,MANHATTAN,10040,American,
41253401,CALIFORNIA PIZZA KITCHEN,MANHATTAN,10016,Pizza/Italian,A
41253406,PUNJABI INDIAN & AMERICAN RESTAURANT,QUEENS,11358,Indian,
50048540,LA COLOMBE,MANHATTAN,10012,Cafe/Coffee/Tea,A
50048541,SHAKE SHACK,MANHATTAN,10018,American,A
50048546,THAILAND CAFE,MANHATTAN,10003,Thai,
40566617,STARBUCKS,MANHATTAN,10019,Cafe/Coffee/Tea,A
41681571,ANTIKA PIZZERIA,QUEENS,11103,Pizza/Italian,A
41565555,A.G KITCHEN,MANHATTAN,10023,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
50012963,STARBUCKS,QUEENS,11102,Cafe/Coffee/Tea,A
41365692,DUNKIN' DONUTS,BROOKLYN,11224,Donuts,A
50019128,IKI MODERN JAPANESE CUISINE,QUEENS,11354,Japanese,A
50001859,ELLARY'S GREENS,MANHATTAN,10014,Californian,
50019124,RAMEN-YA,MANHATTAN,10012,Japanese,B
50019123,BIG ARC CHICKEN,MANHATTAN,10003,Middle Eastern,A
50019120,NEW TOPAZ,MANHATTAN,10019,Thai,
50019121,TOPAZ NOODLE BAR,MANHATTAN,10019,Asian,
41065354,KPMG CAFE,MANHATTAN,10010,American,A
41640556,COVE LOUNGE,MANHATTAN,10027,American,
50072114,PIZZA CACHAPAS,BRONX,10452,Pizza/Italian,Not Yet Graded
41569301,KING SUNSHINE JERK CENTER,BRONX,10472,Caribbean,
41319405,CAFFE RUSTICO,QUEENS,11357,Pizza,
50072111,MIS ANTOJOS COFFEE SHOP,QUEENS,11377,Spanish,A
50072112,,MANHATTAN,10018,Other,
50072113,EL CLUB VALLE RESTAURANT,BRONX,10467,Spanish,
40705411,LINDENWOOD DINER,BROOKLYN,11208,American,A
50072119,FINIX CAFE & JUICE BAR,BRONX,10468,American,A
50066538,SPLASH MANAGEMENT INC,QUEENS,11375,American,A
50065983,ANDREWS CLASSIC ROADSIDE HAMBURGERS,BROOKLYN,11201,Hamburgers,A
41148002,WHAT A BAGEL CAFE,QUEENS,11004,Bagels/Pretzels,A
50065986,TWISTED ROOTZ,BROOKLYN,11236,American,
50065984,"ANDREW'S CLASSIC BKLYN BAGELS,LLC",BROOKLYN,11201,Cafe/Coffee/Tea,
40703714,PALM RESTAURANT,MANHATTAN,10019,Steak,
41363595,HUDSON TERRACE,MANHATTAN,10036,American,A
41630095,DUNKIN' DONUTS,QUEENS,11368,Donuts,A
50066537,LA VILLA PIZZA,BROOKLYN,11228,Pizza,A
50014069,RED LOBSTER,MANHATTAN,10027,Seafood,
50059980,OSCAR WILDE'S,MANHATTAN,10001,American,B
50059983,XSPORT FITNESS,BRONX,10475,"Juice, Smoothies, Fruit Salads",A
40998470,ANDY'S RESTAURAUNT,MANHATTAN,10035,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",B
50059989,Empire Diner,MANHATTAN,10011,American,A
50058050,WOODHAVEN CAFE & PIZZERIA,QUEENS,11417,Pizza,A
50058053,RED HOT II,BROOKLYN,11215,Chinese,
50049637,DOMA,QUEENS,11104,Korean,A
50058057,SUBWAY,BRONX,10463,Sandwiches/Salads/Mixed Buffet,A
50072102,OXY CAFE,BROOKLYN,11209,Cafe/Coffee/Tea,Not Yet Graded
41402681,FOUR SEASONS BAKERY,BROOKLYN,11226,Vegetarian,
50002039,KABIR'S BAKERY,BROOKLYN,11230,Bakery,A
50033152,BAR BOLINAS,BROOKLYN,11205,Californian,
50033151,GOURMET 53,MANHATTAN,10022,American,
50002037,CHABBA BBQ/FAMILY GRILL & CUISINE,BROOKLYN,11218,Indian,A
50002030,YUMMY YUMMY CHINESE RESTAURANT,QUEENS,11434,Chinese,A
50002031,CAFFE NOI ESPRESSO BAR,MANHATTAN,10075,Cafe/Coffee/Tea,
50033154,SANDWICH BAR,QUEENS,11367,Sandwiches,A
41646486,THE BURGER BISTRO,BROOKLYN,11217,American,A
41450629,MCDONALD'S,BROOKLYN,11213,Hamburgers,A
41225826,WILD BAGELS,BROOKLYN,11223,Bagels/Pretzels,
40366109,FIFTH AVENUE BINGO,BROOKLYN,11215,American,
41450623,MCDONALD'S,BROOKLYN,11225,Hamburgers,A
50009773,LAS LUNITAS,BROOKLYN,11237,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
50067857,KIKI'S GRAB & GO,STATEN ISLAND,10307,Pizza/Italian,A
50067856,OAXACA TAQUERIA,MANHATTAN,10128,Mexican,A
50067855,OAXACA TAQUERIA,BROOKLYN,11225,Mexican,
50009775,VIANNELY RESTAURANT,BROOKLYN,11237,Spanish,B
50067859,OAXACA TAQURIA,BROOKLYN,11205,Mexican,A
50067858,PD' MARIO RESTAURANT,BROOKLYN,11203,Spanish,A
50002782,DD BAKERY,BRONX,10453,Bakery,A
50002780,HOU YI HOT POT,MANHATTAN,10002,Chinese,A
40373909,MCDONALD'S,BROOKLYN,11203,Hamburgers,A
50017603,SWEET GARDEN CHINESE TAKEOUT RESTAURANT,QUEENS,11366,Chinese,
50002789,SING WAH RESTAURANT,BROOKLYN,11213,Chinese,
50017605,ZONI CAFE,MANHATTAN,10001,American,
40986939,WASABI SUSHI,BROOKLYN,11214,Japanese,A
50013774,PINGS,MANHATTAN,10013,Seafood,
41185133,DENO'S SWEET SHOPPE,BROOKLYN,11224,American,A
41058276,LA FAMILIA RESTAURANT,BRONX,10467,Mexican,
41145557,NEW ASHA SRI LANKAN RESTAURANT,STATEN ISLAND,10301,Indian,A
40692073,MEZCAL'S RESTAURANT,BROOKLYN,11231,Mexican,
50038223,KAVASUTRA,MANHATTAN,10009,"Juice, Smoothies, Fruit Salads",
50061189,GOOD SEED,MANHATTAN,10001,Salads,A
50061188,MARKET PLACE,MANHATTAN,10166,Other,A
50061187,VERYTHAI,MANHATTAN,10009,Thai,A
41246655,"DUNKIN' DONUTS, BASKIN ROBBINS",BRONX,10451,Donuts,A
50061185,HOT N FRESH,MANHATTAN,10018,Indian,Z
50003786,SHAWARMANIA,QUEENS,11105,Middle Eastern,
50035650,GARDENIA RESTAURANT,MANHATTAN,10014,Mediterranean,A
50035651,OTTO'S TACOS,MANHATTAN,10019,Mexican,A
41338348,DROP OFF SERVICE,MANHATTAN,10009,American,A
41682122,NEW CHUANG HING,BROOKLYN,11201,Chinese,A
41068920,THE SKINNY,MANHATTAN,10002,American,A
41027331,CAFFE ITALIA,QUEENS,11357,Bakery,A
41061861,ROCKMEISHA,MANHATTAN,10014,Japanese,
40697593,ENID'S,BROOKLYN,11222,Soul Food,A
40536414,LA CABANA RESTAURANT,BROOKLYN,11226,Spanish,A
40979259,BAI SUSHI,QUEENS,11103,Japanese,A
50046910,PAPAYA KING,BROOKLYN,11217,Hotdogs,
41238041,ROPES & GRAY CAFE,MANHATTAN,10036,American,
40399729,GLORY DELI,QUEENS,11101,Delicatessen,A
50062982,SAKANA SUSHI & ASIAN BISTRO,BROOKLYN,11209,Japanese,
40719899,NYU KOSHER EATERY,MANHATTAN,10003,Jewish/Kosher,A
41708165,RAINBOW BAKERY & ICE CREAM,QUEENS,11372,Bakery,
50062987,BREAD AND SPREAD (DEKALB MARKET),BROOKLYN,11201,Sandwiches,A
50062984,STARBUCKS COFFEE,MANHATTAN,10007,Cafe/Coffee/Tea,A
50062985,SHIPWRECKED MINIATURE GOLF,BROOKLYN,11231,Pizza,
50060858,SISTER JANE,MANHATTAN,10003,American,Not Yet Graded
41365332,DUNKIN' DONUTS,MANHATTAN,10075,Donuts,
41365330,NEW EVERYBODY'S KITCHEN,STATEN ISLAND,10306,Chinese,A
41106644,STARBUCKS,MANHATTAN,10036,Cafe/Coffee/Tea,
50010952,BILLY'S PIZZA PASTA,BROOKLYN,11225,Pizza,
40933931,CAFE O',MANHATTAN,10017,American,
50010956,ROYAL QUEEN/THE REAL KTV,QUEENS,11354,Chinese,
41671538,TABLE GREEN,MANHATTAN,10004,Sandwiches/Salads/Mixed Buffet,A
41254998,MORENA RESTAURANT,BRONX,10453,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
50069539,KNICKERBOCKER BAGEL,BROOKLYN,11237,American,
50069534,BLU CAFE,MANHATTAN,10069,Cafe/Coffee/Tea,
50069532,VIN SUR VINGT,MANHATTAN,10007,American,
50069533,BIBI BUBBLE TEA,MANHATTAN,10011,Chinese,
41603147,MCDONALD'S,BRONX,10457,American,A
41139411,HELL'S KITCHEN,MANHATTAN,10019,Mexican,A
40999249,HEARTLAND BAGELS,STATEN ISLAND,10314,Bagels/Pretzels,A
41632066,LOS TORITOS BAR RESTAURANT,QUEENS,11372,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
41597207,MAXWELL'S,MANHATTAN,10007,Irish,
40369012,VALENTINO'S PIZZA,QUEENS,11367,Pizza/Italian,
40369017,PALM TOO,MANHATTAN,10017,American,A
41435084,DUNKIN' DONUTS,QUEENS,11416,Donuts,A
40860723,PURITY DINER,BROOKLYN,11215,American,A
40401422,BROADWAY DIVE,MANHATTAN,10025,American,
41673003,SUITE KITCHEN,STATEN ISLAND,10301,American,B
50049500,BODEGA PIZZA,MANHATTAN,10040,Pizza,
50067070,CARVEL STORE,QUEENS,11419,"Ice Cream, Gelato, Yogurt, Ices",A
50067072,KENNEDY FRIED CHICKEN,BRONX,10455,Chicken,
41190515,EL RANCHO LOS COMPADRES,MANHATTAN,10034,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",P
50067074,BAZAR,MANHATTAN,10010,Tapas,A
50063761,CHICK'NCONE,MANHATTAN,10014,American,B
41600495,MI PEQUENO EL SALVADOR RESTAURANT,QUEENS,11372,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
50063762,POKE FUN,MANHATTAN,10018,Hawaiian,A
50063765,GOLDEN KRUST,BRONX,10456,Caribbean,A
50063767,CARA MIA,MANHATTAN,10036,Italian,B
50063769,Spunky Fish N Things,BROOKLYN,11212,Other,A
50063768,UGU,BROOKLYN,11205,Seafood,
50058023,OLIVER COFFEE,MANHATTAN,10038,Cafe/Coffee/Tea,
50053024,CROWN FRIED CHICKEN,BROOKLYN,11212,Chicken,
50059043,NORMAN,BROOKLYN,11222,Scandinavian,A
50001546,SHALOM JAPAN,BROOKLYN,11211,American,
50001540,SAVANN RESTAURANT,MANHATTAN,10027,Mediterranean,
50053023,LA DULCE II BAKERY,QUEENS,11418,Bakery,
50001542,MUSEUM OF SEX/PLAY,MANHATTAN,10016,American,B
41359153,TWO BOOTS,MANHATTAN,10028,Pizza,
50001549,E. SUSHI OF BROOKLYN,BROOKLYN,11234,Chinese/Japanese,A
50057912,BLACK TAP,MANHATTAN,10019,American,
41367206,AKIN GUMP,MANHATTAN,10036,American,A
50044906,GREAT CHINA RESTAURANT,STATEN ISLAND,10303,Chinese,A
40397439,BEN'S KOSHER DELI & RESTAURANT,QUEENS,11360,Jewish/Kosher,
50002326,KINGS KITCHEN A,BROOKLYN,11220,Chinese,A
50002026,RAINBOW BERRY,QUEENS,11372,"Ice Cream, Gelato, Yogurt, Ices",
40875290,SEAFOOD  CITY,BRONX,10464,Seafood,
41205254,"DUNKIN' DONUTS, BASKIN ROBBINS",BRONX,10456,Donuts,B
50009899,CASA ADELA RESTAURANT,MANHATTAN,10009,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
50009898,EL GRAN MALECON RESTAURANT,BROOKLYN,11237,Spanish,
50044665,VB BAKERY,QUEENS,11368,Bakery,
41476982,JOHNNY'S BAKERY,BRONX,10459,Bakery,A
41659173,B.F. NATIONAL BAKERY,BRONX,10467,Bakery,A
50054241,CHEF'S CLUB X,BROOKLYN,11205,American,
40539772,BOWLER LAND,BRONX,10475,American,A
50045398,DUNKIN DONUTS BASKIN ROBBINS,QUEENS,11691,Donuts,A
50045397,PELHAM DELITE,BRONX,10461,Bakery,
50045391,THE PLATFORM,BROOKLYN,11221,Cafe/Coffee/Tea,A
41533453,BROOKLYN STOOPS,BROOKLYN,11205,American,B
41690004,SOPHIES CUBAN CUISINE,BROOKLYN,11201,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
50042621,RAIN II,MANHATTAN,10032,Thai,
41542801,SPICE,MANHATTAN,10075,Thai,Z
50052376,CAFE VENECIA,BROOKLYN,11214,Eastern European,C
50065906,AMBER,MANHATTAN,10023,Chinese/Japanese,A
50052373,LA CEMITA MEXICAN GRILL,BROOKLYN,11204,Mexican,
50006010,BELLA GIOIA,BROOKLYN,11217,Italian,
50006011,UNIVERSITY CENTER CAFE,MANHATTAN,10003,American,A
41049159,IHOP,MANHATTAN,10030,Pancakes/Waffles,
50059766,Villanelle,MANHATTAN,10003,American,A
50003778,QUE RICO TACO,QUEENS,11372,Mexican,
50054796,SUBWAY,QUEENS,11372,Sandwiches,A
50051545,TSURUTONTAN UDON NOODLE BRASSERIE,MANHATTAN,10003,Japanese,
50054794,THE BASAC,QUEENS,11358,Korean,A
50066848,MCDONALD'S,BRONX,10452,Other,A
50054792,BARRY'S BOOTCAMP PARK AVE SOUTH,MANHATTAN,10016,"Juice, Smoothies, Fruit Salads",A
40401837,JERUSALEM PIZZA,BROOKLYN,11230,Pizza,
50066843,VANESSA'S DUMPLINGS HOUSE,QUEENS,11101,Chinese,A
50066842,MCDONALD'S,BRONX,10453,Sandwiches/Salads/Mixed Buffet,A
50008140,CHOP'T,MANHATTAN,10281,Salads,A
50066840,GREEN LADY,MANHATTAN,10013,Other,
50051548,THE MILL,MANHATTAN,10016,American,
50051549,FRENCH EPI,BROOKLYN,11222,French,A
50066845,JOHN'S PINO PIZZERIA,BROOKLYN,11214,Pizza,A
50008145,MIGHTY QUINN'S BBQ,MANHATTAN,10014,American,
50057264,BOMBAY SPICE,BROOKLYN,11216,Indian,A
50057262,THE BUND,QUEENS,11375,Chinese,
50009233,HASHI RAMEN & IZAKAYA,QUEENS,11358,Japanese,A
50009230,DELAWARE AND HUDSON,BROOKLYN,11249,American,
50009235,TIANJIN DUMPLING HOUSE,QUEENS,11355,Chinese,
50057268,HENG CHENG 2,BROOKLYN,11236,Other,A
40849849,FAMOUS BEN'S PIZZA OF SOHO,MANHATTAN,10012,Pizza,A
50056797,718 LOUNGE & TAPAS,BRONX,10457,American,
40525206,FULL MOON PIZZA,BRONX,10458,Pizza/Italian,
50056793,Asian Kabab & Curry,BROOKLYN,11208,Indian,A
50045538,THE LEGEND KTV,BROOKLYN,11219,Chinese,
50045530,YUKA RESTAURANT,MANHATTAN,10028,Japanese,
50045531,OLIVE'S,MANHATTAN,10012,Sandwiches,A
41129035,SAPITO'S SPORTS BAR & GRILL,BRONX,10461,Spanish,A
50045535,LOS AMIGOS GRILL,BROOKLYN,11223,Mexican,
50045536,DR. SEA,QUEENS,11355,Seafood,A
41628709,SUBWAY,BROOKLYN,11201,Sandwiches,
41345931,PETE'S RESTAURANT & PIZZERIA,QUEENS,11361,Pizza/Italian,A
41437934,MENDY'S KOSHER DELICATESSEN,MANHATTAN,10020,Jewish/Kosher,
41201205,FAMOUS AMADEUS PIZZA,MANHATTAN,10001,Pizza,A
50055686,ROUNDHOUSE,MANHATTAN,10019,American,A
40391913,THE NIPPON CLUB,MANHATTAN,10019,Japanese,
40930516,RAVAGH PERSIAN GRILL,MANHATTAN,10016,Iranian,
50067862,Oaxaca Taqueria,MANHATTAN,10027,Mexican,A
50056138,YO! SUSHI,MANHATTAN,10010,Japanese,B
41704296,MIGHTY QUINN'S BARBEQUE,MANHATTAN,10003,Barbecue,
41704299,LOS VERDES,QUEENS,11104,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
50056132,KENNEDY FRIED CHICKEN,BRONX,10452,Chicken,
50056134,DUNKIN DONUTS,MANHATTAN,10011,American,A
50056137,SAHIB,MANHATTAN,10016,Indian,
40592285,BOWLMOR CHELSEA PIERS,MANHATTAN,10011,American,
50055536,Dairy Queen Grill & Chill,STATEN ISLAND,10303,Hamburgers,A
41016886,TENZAN CUISINE,MANHATTAN,10023,Japanese,
50053561,ANGELO'S PIZZA,BROOKLYN,11226,Pizza/Italian,A
50001842,AMAZE,MANHATTAN,10022,Asian,B
50001843,RANDOLPH,BROOKLYN,11249,Armenian,A
50001844,CHINA PEKING RESTAURANT,QUEENS,11421,Chinese,A
50053566,NONNAS OF WHITESTONE,QUEENS,11357,Pizza/Italian,
50053568,Summer Hill,BROOKLYN,11216,Sandwiches,A
50003990,NEW CHOY HING RESTAURANT,BROOKLYN,11221,Chinese,
41709714,STARBUCKS,MANHATTAN,10001,Cafe/Coffee/Tea,A
40511659,I TRULLI/SOTTO SUOLO RESTAURANT,MANHATTAN,10016,Italian,A
41709719,MARKET PLACE (CENTERPLATE),MANHATTAN,10001,American,A
41704745,SUBWAY,MANHATTAN,10031,Sandwiches,A
40941320,TAAM MEVORACH,BROOKLYN,11223,Jewish/Kosher,
40800483,STEP IN RESTAURANT & LOUNGE,BRONX,10462,American,A
41320212,ANTHONY'S PIZZA,BRONX,10462,Pizza,A
40760795,BARNES & NOBLE CAFE,BROOKLYN,11201,Cafe/Coffee/Tea,A
41382973,DUNKIN' DONUTS,MANHATTAN,10018,Donuts,A
40744238,PICANTERIA EL BOTECITO,BRONX,10454,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
40510293,DON PEPIS DELICATESSEN,MANHATTAN,10001,Delicatessen,A
40923055,D'OASIS BAR RESTAURANT,QUEENS,11378,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
50048709,SERENATA,MANHATTAN,10011,Mexican,A
50048705,BLOSSOM DU JOUR,MANHATTAN,10011,Vegetarian,
50004505,RED STAR,MANHATTAN,10027,Chinese,B
50004503,MAISON KAYSER,MANHATTAN,10019,Bakery,A
50040571,NEW 509 PIZZERIA INC,BRONX,10451,Pizza,B
50041624,HOW GREEK IT IS,STATEN ISLAND,10306,Greek,A
50000083,KENNEDY FRIED CHICKEN,BRONX,10458,Chicken,A
41614516,YOLA'S CAFE,BROOKLYN,11211,Mexican,
50000088,MAHARLIKA,MANHATTAN,10003,Filipino,A
40799021,BRAVO'S RESTAURANT &  CAFE,QUEENS,11385,Spanish,
41276342,STARBUCKS,MANHATTAN,10119,Cafe/Coffee/Tea,A
50072357,,QUEENS,11355,Other,
50072352,WOK WOK RESTAURANT,MANHATTAN,10013,Asian,Not Yet Graded
40935550,SIMPLY NATURAL,MANHATTAN,10036,"Juice, Smoothies, Fruit Salads",
50072351,,MANHATTAN,10002,Other,
41240455,HAMPTON INN,MANHATTAN,10019,American,A
50072358,,QUEENS,11417,Other,
50068912,CARLOS SUAREZ,MANHATTAN,10014,Other,
41616914,FORTUNE HOUSE,BROOKLYN,11201,Chinese/Japanese,A
50000338,ZORALIE RESTAURANT,MANHATTAN,10019,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
50000335,OKIDOKI,QUEENS,11103,Japanese,A
50000334,EL POLLO III,BROOKLYN,11214,Spanish,B
50000337,MIRAMAR,MANHATTAN,10280,Mediterranean,B
50000330,LAKE STREET BAR,BROOKLYN,11222,American,A
50040391,RIVER DOCK BAR & GRILL,STATEN ISLAND,10301,American,C
41721673,CRAZY ANNIE'S,MANHATTAN,10032,American,A
41721670,MULBERRY & VINE,MANHATTAN,10007,American,
40708213,DELIAS LOUNGE CAFE,BROOKLYN,11209,American,A
50074192,,BROOKLYN,11208,Other,
50074193,,BRONX,10457,Other,
50074190,,STATEN ISLAND,10310,Other,
50074197,,QUEENS,11101,Other,
50074194,UOTORA JAPANESE RESTAURANT,BROOKLYN,11216,Other,
50074195,NOCHES MEXICANAS,BRONX,10455,Other,
50033794,YOGURT COUTURE,QUEENS,11360,"Ice Cream, Gelato, Yogurt, Ices",A
50033797,SENYA,MANHATTAN,10003,Japanese,A
50033791,BENSON'S NYC,MANHATTAN,10002,American,A
50070862,OUTSIDE LOOKING IN RESTAURANT & LOUNGE,BRONX,10457,Other,
50070863,POKE BOWL STATION,BROOKLYN,11217,Salads,
50070866,SHAKING CRAB,BROOKLYN,11215,Seafood,
50070867,PANZEROTTI BITES,BROOKLYN,11231,Italian,A
50070864,BORDER BURRITO,BROOKLYN,11211,Tex-Mex,A
50067636,BUTTERCUP BAKE SHOP,MANHATTAN,10038,Bakery,Not Yet Graded
40366748,MUNCH TIME DINER,BRONX,10452,American,
41291910,FIVE GUYS FAMOUS BURGERS AND FRIES,MANHATTAN,10019,Hamburgers,A
40387143,WHITE CASTLE,BRONX,10472,Hamburgers,
50007733,LOK HIN,BRONX,10454,Chinese,
40726517,HILLSTONE MANHATTAN,MANHATTAN,10010,Steak,
50007736,WISE ESPRESSO BAR,BROOKLYN,11235,Eastern European,
50036677,KENNEDY CHICKEN & GRILL,QUEENS,11417,Chicken,A
50036670,NEUEHOUSE,MANHATTAN,10010,American,
50036672,BAREBURGER,MANHATTAN,10019,American,
40840124,GURRA CAFE,BRONX,10458,Cafe/Coffee/Tea,A
41543811,BIG JOHN'S COFFEE SHOP & GRILL,BROOKLYN,11232,American,A
50001069,UMA'S,QUEENS,11693,Russian,A
50001062,ZZ CLAM BAR,MANHATTAN,10012,American,
50001063,PENNYLANE COFFEE,MANHATTAN,10017,Cafe/Coffee/Tea,A
50001060,TAQUERIA CHILA,QUEENS,11372,Spanish,
41032365,HORUS KABAB HOUSE,MANHATTAN,10009,Middle Eastern,
41479685,FISH BONE,BROOKLYN,11203,Caribbean,
41617354,"DUNKIN' DONUTS, BASKIN ROBBINS",BRONX,10473,Donuts,A
40372618,BURGER KING,QUEENS,11434,Hamburgers,
41617359,DUNKIN' DONUTS,BRONX,10462,Donuts,A
40801855,PLAYWRIGHT CELTIC PUB,MANHATTAN,10019,Irish,A
50071114,SOFRA,BRONX,10461,Greek,Not Yet Graded
50071110,GRK FRESH GREEK,MANHATTAN,10003,Greek,A
50070248,PAPA JOHN'S PIZZA,BROOKLYN,11226,Pizza,
41279509,THE HAPPIEST HOUR,MANHATTAN,10011,American,
50070247,PAPA JOHN'S PIZZA,BROOKLYN,11225,American,
50070242,BIG CHEESE PIZZA,BRONX,10452,Pizza,A
50064117,LA SIRENE UWS,MANHATTAN,10024,French,Not Yet Graded
50064113,Shank House,QUEENS,11004,Mediterranean,
50064112,KURO-OBI,MANHATTAN,10013,Other,A
50064110,Hawa Smoothie,BROOKLYN,11211,"Juice, Smoothies, Fruit Salads",A
41492598,SUPER BOWL CHINESE RESTAURANT,QUEENS,11378,Chinese,
40969814,VOSGES HAUT-CHOCOLAT,MANHATTAN,10012,"Ice Cream, Gelato, Yogurt, Ices",A
41492592,SOHO CAFE & GRILL,BROOKLYN,11218,American,A
41567580,V.I.P. CLUB,QUEENS,11005,American,
40542546,CUCCIOS BAKERY,BROOKLYN,11223,Bakery,A
41637055,THE JOCKEY'S ROOM,QUEENS,11420,American,
41698190,MAGIA EN TU VIDA,QUEENS,11368,Other,A
50035324,LA NEWYORKINA,MANHATTAN,10011,"Ice Cream, Gelato, Yogurt, Ices",A
50035322,LA NEWYORKINA,MANHATTAN,10011,"Ice Cream, Gelato, Yogurt, Ices",A
50035323,CROWN FRIED CHICKEN,BROOKLYN,11221,Chicken,
41490991,LIPS RESTAURANT,MANHATTAN,10022,American,
41071907,LENOX FAST FOOD,MANHATTAN,10037,American,
50003771,Akaru Sushi,BROOKLYN,11237,Japanese,A
41337804,JUST LORRAINE'S PLACE,MANHATTAN,10027,American,
50003773,MI TIERRA COFFEE SHOP,QUEENS,11377,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
41699573,PG PIZZA,BRONX,10456,Pizza,A
41668303,EASTERN RESTAURANT,QUEENS,11428,Chinese,
41668300,GIRELLO,MANHATTAN,10013,Italian,A
41335405,RADISSON JFK - CONNECTIONS,QUEENS,11436,American,
50069734,PRINCE KABAB & CHINESE RESTAURANT,QUEENS,11372,Indian,A
50069736,,QUEENS,11102,Other,
41230004,WICKED WILLY'S,MANHATTAN,10012,American,
40836801,CONNOLLY'S,MANHATTAN,10036,Irish,A
50065642,SOFIA TAQUERIA PIZZERIA NAPOLITANA,MANHATTAN,10034,Pizza/Italian,
50065644,NEW GRAND BUFFET,QUEENS,11101,Chinese,B
50062617,FLIP 'N TOSS,MANHATTAN,10014,American,A
50065649,AD HOC COLLECTIVE,MANHATTAN,10014,Cafe/Coffee/Tea,
50062618,AVOCADERIA,BROOKLYN,11232,Sandwiches,
41303762,HORCHATA,MANHATTAN,10011,Mexican,
40588462,JOHN'S PIZZA,QUEENS,11420,Pizza,P
41463700,BAR 718,BROOKLYN,11215,"Bottled beverages, including water, sodas, juices, etc.",A
41391456,THE WRIGHT,MANHATTAN,10128,American,A
41305085,HEWITT DINING HALL BARNARD COLLEGE CAFETERIA,MANHATTAN,10027,American,
40544267,UNITED CYPRIANS OF AMERICA,QUEENS,11102,Mediterranean,A
50069884,BARZOLA RESTAURANT,QUEENS,11369,Other,
50069882,,MANHATTAN,10106,Other,
50069883,DON ANGIE,MANHATTAN,10014,American,A
41510014,EL CANELAZO BAR RESTAURANT,QUEENS,11372,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
41304936,DRAM SHOP,BROOKLYN,11215,American,A
41696687,BRITTANYA 54TH AT AMERITANIA HOTEL,MANHATTAN,10019,American,
41306687,PICO,QUEENS,11694,Mexican,A
40754486,ELEGANTE PIZZA,BROOKLYN,11209,Pizza,A
41636015,BOBWHITE COUNTER.,MANHATTAN,10009,Soul Food,A
40375839,COZY SOUP & BURGER,MANHATTAN,10003,American,
41412577,GENKI SUSHI,STATEN ISLAND,10312,Japanese,A
40660138,NOBU NEXT DOOR,MANHATTAN,10013,Japanese,A
41225253,FUSION GRILLS,MANHATTAN,10022,Chinese,
50063561,IRIS TEA & BAKERY,QUEENS,11365,Japanese,B
41169084,THINK COFFEE,MANHATTAN,10012,Cafe/Coffee/Tea,
41394214,NI-NA-AB RESTAURANT,QUEENS,11432,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",
50063568,PRIVATE KITCHEN,QUEENS,11354,Chinese,
40394962,RUSSO'S ON THE BAY,QUEENS,11414,American,A
40545130,SPEEDY'S DELI,MANHATTAN,10001,American,Z
41527114,MERCHANTS RIVER HOUSE,MANHATTAN,10280,American,A
50000867,TABATA 2 JAPANESE NOODLE RESTAURANT,MANHATTAN,10018,Japanese,
41694850,FOOTBALL RESTAURANT & BAKERY,BROOKLYN,11226,Caribbean,A
41631799,PARM,MANHATTAN,10012,Italian,
50017750,SUBWAY,MANHATTAN,10001,Sandwiches,A
41231878,IL BRIGANTE,MANHATTAN,10038,Italian,
50064939,NUEVA NUTRICION,QUEENS,11368,Other,A
50064934,SIMMER DOWN RESTAURANT,BROOKLYN,11233,Caribbean,B
50064937,KENNEDY FRIED CHICKEN,BRONX,10455,Chicken,A
50014452,TERIYAKI JAPAN,BROOKLYN,11220,Japanese,
41494859,SUBWAY,MANHATTAN,10003,Sandwiches,A
41682709,APOTHEKE/CHEMIST,MANHATTAN,10013,American,
50038853,EASTLANDS,BROOKLYN,11237,American,A
41406532,BAKEWAY,QUEENS,11102,Bakery,A
40367860,LB SPUMONI GARDENS,BROOKLYN,11223,Pizza/Italian,
50038859,JUN-MEN RAMEN BAR,MANHATTAN,10001,Japanese,A
